log2FoldChange	locus_tag	geneID	product	Operon	max_L2FC_per_operon	L2FC_SQvsLac	L2FC_SQvsLac_AbsDiff	L2FC_NissleVsK12	L2FC_NissleVsK12_AbsDiff	KEGG_PATHWAY	Function_COG	predicted_function2	identity_sq	product_otherSQ	protein_id_otherSQ	org_name_otherSQ	baseMean	lfcSE	stat	pvalue	padj	locus_tag_k12	identity_mmseqs2_nt	midpoint	COGgene	PosLeft	postRight	Strand	INTERPRO	UP_KW_BIOLOGICAL_PROCESS	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	PUBMED_ID	GENERIF_SUMMARY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	Category_COG
-3.31050602579093	K8943_RS07050	cysH	phosphoadenosine phosphosulfate reductase	732.0	-3.31050602579093	similar	2.13633218984704	similar	0.43619558815567	eco00920:Sulfur metabolism,eco01100:Metabolic pathways,eco01120:Microbial metabolism in diverse environments,	[EH] 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase						220.212911527613	0.262626494983867	-12.6053771764128	1.97226822656504e-36	6.72045790098704e-35	b2762	0.978	1485299.0	COG0175	1484932	1485666	-	IPR002500:Phosphoadenosine phosphosulphate reductase,IPR004511:Phosphoadenosine phosphosulphate/adenosine 5'-phosphosulphate reductase,IPR011800:Phosphoadenosine phosphosulphate reductase CysH,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold,			KW-0560~Oxidoreductase,	2005873,2158792,2404794,2670946,2966849,3301533,7588765,9261082,9278503,10075058,10075658,12057966,12682041,16397293,16606699,16738553,16849790,17012394,17187058,17222132,17352498,21873635,24934621,	17352498:the structure of PAPS reductase in complex with thioredoxin highlights the large structural rearrangement required to accomplish sulfonucleotide reduction and suggests a role for Trx in catalysis beyond the paradigm of disulfide reduction.,2404794:N-terminus verified by Edman degradation on mature peptide,24934621:Inactivation of the cysH gene results in increased surface adhesion and cell aggregation by activating the expression of the curli-encoding csgBAC operon via phosphoadenosine 59-phosphosulfate accumulation.,	GO:0006790~sulfur compound metabolic process,GO:0019379~sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin),GO:0070814~hydrogen sulfide biosynthetic process,	GO:0005737~cytoplasm,	GO:0003824~catalytic activity,GO:0004604~phosphoadenylyl-sulfate reductase (thioredoxin) activity,GO:0016491~oxidoreductase activity,	Amino acid transport and metabolism [E]
-2.88470180389394	K8943_RS07060	cysJ	NADPH-dependent assimilatory sulfite reductase flavoprotein subunit	732.0	-3.31050602579093	similar	2.31200332628371	similar	0.84130981073596	eco00920:Sulfur metabolism,eco01100:Metabolic pathways,eco01120:Microbial metabolism in diverse environments,	[P] Sulfite reductase, alpha subunit (flavoprotein) 						456.227070175936	0.184849420352917	-15.6056848779208	6.659127169450789e-55	4.33556743925314e-53	b2764	0.96	1488352.0	COG0369	1487452	1489251	-	IPR001094:Flavodoxin,IPR001433:Oxidoreductase FAD/NAD(P)-binding,IPR001709:Flavoprotein pyridine nucleotide cytochrome reductase,IPR003097:FAD-binding, type 1,IPR008254:Flavodoxin/nitric oxide synthase,IPR010199:Sulphite reductase [NADPH] flavoprotein, alpha chain,IPR017927:Ferredoxin reductase-type FAD-binding domain,IPR017938:Riboflavin synthase-like beta-barrel,IPR023173:NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain-3,	KW-0028~Amino-acid biosynthesis,KW-0198~Cysteine biosynthesis,KW-0249~Electron transport,KW-0813~Transport,	KW-0274~FAD,KW-0285~Flavoprotein,KW-0288~FMN,KW-0521~NADP,	KW-0560~Oxidoreductase,	1452024,1987123,2158792,2550423,2670946,2701932,2966849,3301533,4144254,4144546,4150390,4150391,4150392,4150393,6257697,6281269,7589518,7657631,8001563,8332529,8360156,8389549,8530465,9153434,9278503,9558350,9761836,10215853,10455035,10860732,11888295,14085404,14463130,15690043,15748988,15966732,16397293,16606699,16738553,16820464,17012394,17085569,17187058,17222132,17543954,19684179,21873635,24561554,26088143,33722582,	1452024:N-terminus verified by Edman degradation on mature peptide,19684179:A model is proposed for the inhibition of growth in which the reduction of furfural by YqhD enzyme depletes NADPH sufficiently to limit the assimilation of sulfur into amino acids (cysteine and methionine) by CysIJ (sulfite reductase).,33722582:Small-angle neutron scattering solution structures of NADPH-dependent sulfite reductase.,	GO:0000103~sulfate assimilation,GO:0008652~cellular amino acid biosynthetic process,GO:0019344~cysteine biosynthetic process,GO:0070814~hydrogen sulfide biosynthetic process,	GO:0005829~cytosol,GO:0009337~sulfite reductase complex (NADPH),	GO:0004783~sulfite reductase (NADPH) activity,GO:0005515~protein binding,GO:0010181~FMN binding,GO:0016491~oxidoreductase activity,GO:0042602~riboflavin reductase (NADPH) activity,GO:0043167~ion binding,GO:0050660~flavin adenine dinucleotide binding,GO:0070401~NADP+ binding,	Inorganic ion transport and metabolism [P]
-3.30233487121089	K8943_RS14420	psiE	phosphate-starvation-inducible protein PsiE	1449.0	-3.30233487121089	specific		similar	0.3409590151860904		[S] Predicted membrane protein   						24.1810897621717	0.716856973129872	-4.60668584528453	4.09137402967469e-06	3.09484433862944e-05	b4030	0.987	3038752.0	COG3223	3038547	3038957	+	IPR009315:Phosphate-starvation-induced PsiE,IPR020948:Phosphate-starvation-induced PsiE-like,				2160940,2820984,3540312,6304324,8265357,9278503,10986267,11574054,12897016,15044727,15919996,16120447,16397293,16738553,17456747,21873635,		GO:0016036~cellular response to phosphate starvation,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,		Function unknown [S]
-3.27147448447774	K8943_RS20205	dtpD	dipeptide permease DtpD	2083.0	-3.27147448447774	specific		specific			[E] Dipeptide/tripeptide permease    						20.2025625235967	0.713706573733047	-4.58378079294727	4.5664295961451e-06	3.4399178321374e-05	b0709	0.962	4256976.0	COG3104	4256235	4257716	-	IPR000109:Proton-dependent oligopeptide transporter family,IPR005279:Amino acid/peptide transporter family,IPR018456:PTR2 family proton/oligopeptide symporter, conserved site,IPR020846:Major facilitator superfamily domain,IPR023777:Amino acid/peptide transporter family, dipeptide permease D,	KW-0571~Peptide transport,KW-0653~Protein transport,KW-0813~Transport,			7817396,8438231,9278503,9529885,10943556,15919996,16120447,16381841,16397293,16738553,16842212,18485005,19782088,21873635,24561554,25066136,	19782088:Uptake experiments indicated that DtpD (YbgH) functions as a canonical peptide transporter and is, therefore, a valid model for structural studies of this family of proteins.,	GO:0006857~oligopeptide transport,GO:0015031~protein transport,GO:0015833~peptide transport,GO:0035442~dipeptide transmembrane transport,GO:0042938~dipeptide transport,GO:0042939~tripeptide transport,GO:0055085~transmembrane transport,GO:1902600~hydrogen ion transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,	GO:0015333~peptide:proton symporter activity,GO:0022857~transmembrane transporter activity,GO:0042937~tripeptide transporter activity,GO:0071916~dipeptide transmembrane transporter activity,GO:1904680~peptide transmembrane transporter activity,	Amino acid transport and metabolism [E]
-3.1844714577104	K8943_RS00535	ydeA	L-arabinose MFS transporter	71.0	-3.1844714577104	specific		similar	0.96120403676422		[G] Arabinose efflux permease   						25.008090582551	0.663273679824608	-4.80114250659318	1.57762945963279e-06	1.27257455969494e-05	b1528	0.97	116679.0	COG2814	116084	117274	+	IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,IPR023495:Sugar efflux transporter, putative,	KW-0762~Sugar transport,KW-0813~Transport,			8383113,8438231,9278503,9529885,10094697,10438792,10943556,11566977,15919996,16120447,16381841,16397293,16738553,16842212,16849790,			GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015144~carbohydrate transmembrane transporter activity,	Carbohydrate transport and metabolism [G]
-3.16374129379282	K8943_RS14920	rdcB	YjcZ-like family protein	1495.0	-3.16374129379282	opposite	4.096380731417728	specific									319.778690793528	0.24100963803797	-13.1270322612342	2.30514672794651e-39	8.94102656392868e-38	b4110	0.969	3150640.0		3150201	3151079	+	IPR025599:YjcZ-like protein,				7610040,9278503,16397293,16738553,17941710,					
-2.53432059399304	K8943_RS14915	crfC	clamp-binding protein CrfC	1495.0	-3.16374129379282	opposite	3.215358885513122	specific			[R] Predicted GTPases (dynamin-related)   						533.214797598952	0.17737226619444	-14.2881446370813	2.59429406502369e-46	1.3708400233444e-44	b4109	0.975	3149090.0	COG0699	3147976	3150204	+	IPR027417:P-loop containing nucleoside triphosphate hydrolase,	KW-0159~Chromosome partition,KW-0235~DNA replication,			2155230,7610040,9278503,16397293,16738553,17941710,24561554,		GO:0000027~ribosomal large subunit assembly,GO:0006260~DNA replication,GO:0007059~chromosome segregation,	GO:0005829~cytosol,	GO:0005525~GTP binding,GO:0043022~ribosome binding,	General function prediction only [R]
-2.47284960429456	K8943_RS17685	metI	methionine ABC transporter permease MetI	1785.0	-3.15518235006242	opposite	4.23497555940952	similar	1.04992346429729	eco02010:ABC transporters,	[P] ABC-type metal ion transport system, permease						313.644091403124	0.247707578024438	-9.98293885078719	1.81024116929798e-23	4.09946540575182e-22	b0198	0.984	3723886.0	COG2011	3723559	3724212	-	IPR000515:Binding-protein-dependent transport systems inner membrane component,	KW-0029~Amino-acid transport,KW-0813~Transport,			318639,9278503,12169620,12218041,12819857,15647275,15919996,16120447,16381841,16397293,16738553,17309111,18621668,19246752,20173761,21873635,22095702,30352853,	18621668:crystal structure of high-affinity MetNI methionine uptake transporter was solved to 3.7 angstrom resolution; methionine binds to dimerized carboxyl-terminal domain & inhibits ATPase activity; findings are consistent with allosteric regulatory mechanism,	GO:0006865~amino acid transport,GO:0048473~D-methionine transport,GO:0055085~transmembrane transport,GO:1902475~L-alpha-amino acid transmembrane transport,GO:1903692~methionine import into cell,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0055052~ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing,GO:1990197~ATP-dependent methionine-importing complex,	GO:0005515~protein binding,GO:0015191~L-methionine transmembrane transporter activity,	Inorganic ion transport and metabolism [P]
-3.15518235006242	K8943_RS17680	metQ	methionine ABC transporter substrate-binding lipoprotein MetQ	1785.0	-3.15518235006242	opposite	3.936764407476796	similar	0.7270820086769998	eco02010:ABC transporters,	[P] ABC-type metal ion transport system, periplasmic						1489.06144855577	0.154003658248347	-20.4877103956476	2.7712267390713402e-93	4.3929968220235203e-91	b0197	0.984	3723112.0	COG1464	3722704	3723519	-	IPR004872:Lipoprotein NlpA family,	KW-0029~Amino-acid transport,KW-0813~Transport,			318639,1459951,9278503,12169620,12218041,12819857,12876315,15130122,15174130,15690043,15911532,16381841,16397293,16606699,16738553,17187058,18621668,24561554,25803078,30352853,		GO:0006865~amino acid transport,GO:0048473~D-methionine transport,GO:1903692~methionine import into cell,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030288~outer membrane-bounded periplasmic space,GO:0046658~anchored component of plasma membrane,GO:0055052~ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing,GO:1990197~ATP-dependent methionine-importing complex,	GO:0005515~protein binding,	Inorganic ion transport and metabolism [P]
-2.39739858711646	K8943_RS17690	metN	methionine ABC transporter ATP-binding protein MetN	1785.0	-3.15518235006242	opposite	4.531133569088389	specific		eco02010:ABC transporters,	[P] ABC-type metal ion transport system, ATPase	ASMO_smoE	28.889	ABC transporter, nucleotide binding/ATPase protein	AAK90109.2	Agrobacterium fabrum str. C58	323.916600366155	0.247043527308044	-9.70435701449119	2.88892009071162e-22	6.15965067294418e-21	b0199	0.993	3724720.0	COG1135	3724205	3725236	-	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR012692:ABC transporter, methionine import, ATP-binding protein MetN, proteobacteria,IPR017871:ABC transporter, conserved site,IPR018449:NIL domain,IPR026253:ABC transporter, methionine import, ATP-binding protein MetN,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	KW-0029~Amino-acid transport,KW-0813~Transport,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0021~Allosteric enzyme,KW-1278~Translocase,	318639,7904973,9278503,9593292,12169620,12218041,12368244,12627170,12819857,15647275,15690043,16381841,16397293,16738553,18621668,19246752,20173761,22095702,22841565,24561554,30352853,	18621668:crystal structure of high-affinity MetNI methionine uptake transporter was solved to 3.7 angstrom resolution; methionine binds to dimerized carboxyl-terminal domain & inhibits ATPase activity; findings are consistent with allosteric regulatory mechanism,	GO:0006865~amino acid transport,GO:0008152~metabolic process,GO:0048473~D-methionine transport,GO:1902475~L-alpha-amino acid transmembrane transport,GO:1903692~methionine import into cell,	GO:0005886~plasma membrane,GO:0009276~Gram-negative-bacterium-type cell wall,GO:0016020~membrane,GO:0055052~ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing,GO:1990197~ATP-dependent methionine-importing complex,	GO:0000166~nucleotide binding,GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015191~L-methionine transmembrane transporter activity,GO:0016887~ATPase activity,GO:0033232~D-methionine-transporting ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	Inorganic ion transport and metabolism [P]
-2.07868929414446	K8943_RS04360	fruA	PTS fructose transporter subunit IIBC	477.0	-3.14367200409565	specific		opposite	4.4175284572184	eco00051:Fructose and mannose metabolism,eco01100:Metabolic pathways,eco01120:Microbial metabolism in diverse environments,eco02060:Phosphotransferase system (PTS),	[G] Phosphotransferase system, fructose-specific IIC component 						270.446264742042	0.22092132710811	-9.4091834471338	5.000060858402271e-21	9.907729287899292e-20	b2167	0.978	911840.0	COG1299	910995	912686	-	IPR003352:Phosphotransferase system, EIIC,IPR003353:Phosphotransferase system, fructose-specific IIB subunit,IPR003501:Phosphotransferase system, EIIB component, type 2/3,IPR006327:Phosphotransferase system, fructose IIC component,IPR013011:Phosphotransferase system, EIIB component, type 2,IPR013014:Phosphotransferase system, EIIC component, type 2,	KW-0598~Phosphotransferase system,KW-0762~Sugar transport,KW-0813~Transport,		KW-0418~Kinase,KW-0808~Transferase,	2203752,2546043,3076173,3528748,3553910,7721070,8013873,8230205,8246840,8626640,9278503,10943564,11361065,15257457,15919996,16120447,16381841,16397293,16738553,16849790,17309111,18680461,21873635,24561554,31751341,	18680461:The synchrotron data were collected to 2.6 A from the crystal of a selenomethionine substitute PTS EIIB(fruc) protein.,	GO:0008643~carbohydrate transport,GO:0009401~phosphoenolpyruvate-dependent sugar phosphotransferase system,GO:0015755~fructose transport,GO:0016310~phosphorylation,GO:0032445~fructose import,GO:1902600~hydrogen ion transmembrane transport,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:1902495~transmembrane transporter complex,	GO:0005351~sugar:proton symporter activity,GO:0005515~protein binding,GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,GO:0016301~kinase activity,GO:0016740~transferase activity,GO:0022877~protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity,GO:0090563~protein-phosphocysteine-sugar phosphotransferase activity,GO:0090582~protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity,	Carbohydrate transport and metabolism [G]
-3.14367200409565	K8943_RS04370	fruB	fused PTS fructose transporter subunit IIA/HPr protein	477.0	-3.14367200409565	specific		opposite	5.51542003679385	eco02060:Phosphotransferase system (PTS),	[G] Mannitol/fructose-specific phosphotransferase system, IIA domain 						256.218077656993	0.251145193934723	-12.5173488484623	6.00061402794798e-36	2.00717786659618e-34	b2169	0.987	914206.0	COG4668	913641	914771	-	IPR000032:Phosphotransferase system, phosphocarrier HPr protein-like,IPR001020:Phosphotransferase system, HPr histidine phosphorylation site,IPR002114:Phosphotransferase system, HPr serine phosphorylation site,IPR002178:Phosphotransferase system, phosphoenolpyruvate-dependent sugar EIIA 2,IPR016152:Phosphotransferase/anion transporter,	KW-0598~Phosphotransferase system,KW-0762~Sugar transport,KW-0813~Transport,		KW-0418~Kinase,KW-0808~Transferase,	1981619,2203752,2546043,3076173,3510127,3528748,7006754,7721070,8013873,8230205,8246840,8626640,9097040,9278503,10369677,11361065,12368244,12627170,15748988,15911532,16115199,16381841,16397293,16417522,16738553,17366475,21873635,24561554,31751341,		GO:0008643~carbohydrate transport,GO:0009401~phosphoenolpyruvate-dependent sugar phosphotransferase system,GO:0016310~phosphorylation,GO:0032445~fructose import,GO:1990539~fructose import across plasma membrane,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0019897~extrinsic component of plasma membrane,GO:1902495~transmembrane transporter complex,	GO:0005515~protein binding,GO:0016301~kinase activity,GO:0016740~transferase activity,GO:0022877~protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity,GO:0090563~protein-phosphocysteine-sugar phosphotransferase activity,	Carbohydrate transport and metabolism [G]
-2.87630467244142	K8943_RS04365	fruK	1-phosphofructokinase	477.0	-3.14367200409565	specific		opposite	5.3830291236949	eco00051:Fructose and mannose metabolism,eco01100:Metabolic pathways,eco02060:Phosphotransferase system (PTS),	[G] Fructose-1-phosphate kinase and related fructose-6-phosphate kinase						163.882023826595	0.285534286179057	-10.0734125870884	7.24207483141038e-24	1.7035228926014398e-22	b2168	0.994	913172.0	COG1105	912703	913641	-	IPR002173:Carbohydrate/puine kinase, PfkB, conserved site,IPR011611:Carbohydrate kinase PfkB,IPR017583:Tagatose/fructose phosphokinase,IPR022463:Fructose 1-phosphate kinase,		KW-0067~ATP-binding,KW-0460~Magnesium,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,	1981619,3528748,4579702,6314091,6392823,7721070,8013873,8382990,8606162,9097040,9278503,10833389,11361065,14527658,14727089,16397293,16738553,16820464,21873635,		GO:0005975~carbohydrate metabolic process,GO:0006001~fructose catabolic process,GO:0016310~phosphorylation,GO:0046835~carbohydrate phosphorylation,	GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0005524~ATP binding,GO:0008443~phosphofructokinase activity,GO:0008662~1-phosphofructokinase activity,GO:0016301~kinase activity,GO:0016740~transferase activity,GO:0016772~transferase activity, transferring phosphorus-containing groups,GO:0016773~phosphotransferase activity, alcohol group as acceptor,	Carbohydrate transport and metabolism [G]
-3.12192490567705	K8943_RS19715	hcxA	hydroxycarboxylate dehydrogenase HcxA	2037.0	-3.12192490567705	opposite	5.65049989279984	specific			[C] Glycerol dehydrogenase and related enzymes 						302.227999867251	0.314460061082765	-9.9278900313365	3.14847151344669e-23	7.0425319865194015e-22	b0599	0.969	4159678.0	COG0371	4159134	4160222	-	IPR001670:Alcohol dehydrogenase, iron-type,IPR016205:Glycerol dehydrogenase,IPR018211:Alcohol dehydrogenase, iron-type, conserved site,		KW-0479~Metal-binding,KW-0521~NADP,KW-0862~Zinc,	KW-0560~Oxidoreductase,	1848300,7567469,9278503,16397293,16738553,16849790,17122336,24561554,27941785,				GO:0005515~protein binding,GO:0016491~oxidoreductase activity,GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0047545~2-hydroxyglutarate dehydrogenase activity,	Energy production and conversion [C]
-3.11904973669173	K8943_RS18820	aroL	shikimate kinase AroL	1933.0	-3.11904973669173	specific		similar	0.8582623172681396	eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01230:Biosynthesis of amino acids,	[E] Shikimate kinase    						143.836538610833	0.289640539912331	-10.7686919021619	4.8382622923618096e-27	1.2690866415792202e-25	b0388	0.986	3966168.0	COG0703	3965906	3966430	+	IPR000623:Shikimate kinase/Threonine synthase-like 1,IPR023000:Shikimate kinase, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,IPR027544:Shikimate kinase 2,	KW-0028~Amino-acid biosynthesis,KW-0057~Aromatic amino acid biosynthesis,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,	222728,1309529,3001024,3001025,3001029,3026317,3353710,7883721,7961453,9278503,11603966,15575692,16397293,16738553,16828913,17085569,21873635,	3001029,3026317:N-terminus verified by Edman degradation on mature peptide,	GO:0008652~cellular amino acid biosynthetic process,GO:0009073~aromatic amino acid family biosynthetic process,GO:0009423~chorismate biosynthetic process,GO:0016310~phosphorylation,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0004765~shikimate kinase activity,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0016740~transferase activity,GO:0046872~metal ion binding,	Amino acid transport and metabolism [E]
-3.08120918830675	K8943_RS09670	ubiU	U32 family peptidase	1000.0	-3.09141924414135	specific		specific			[O] Collagenase and related proteases  						9.19325272174824	1.16777034982937	-2.63854035064082	0.0083263790759402	0.032819435795544	b3158	0.981	2043978.0	COG0826	2043481	2044476	+	IPR001539:Peptidase U32,	KW-0831~Ubiquinone biosynthesis,	KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,		9278503,15690043,16381862,16397293,16606699,16738553,31289180,		GO:0006744~ubiquinone biosynthetic process,GO:0032150~ubiquinone biosynthetic process from chorismate,GO:0071704~organic substance metabolic process,		GO:0005515~protein binding,GO:0046872~metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,	Posttranslational modification, protein turnover, chaperones [O]
-3.09141924414135	K8943_RS09675	ubiV	U32 family peptidase	1000.0	-3.09141924414135	specific		specific									10.5943079588984	1.01496545007028	-3.04583692373696	0.0023203364696058	0.0106548447962001	b3159	0.974	2044924.0		2044485	2045363	+	IPR001539:Peptidase U32,	KW-0831~Ubiquinone biosynthesis,	KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,		9278503,16381862,16397293,16738553,16738554,31289180,		GO:0006744~ubiquinone biosynthetic process,GO:0032150~ubiquinone biosynthetic process from chorismate,GO:0071704~organic substance metabolic process,		GO:0005515~protein binding,GO:0046872~metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,	
-3.08344625038698	K8943_RS07850	serA	phosphoglycerate dehydrogenase	805.0	-3.08344625038698	specific		similar	0.9662104220964198	eco00260:Glycine, serine and threonine metabolism,eco00270:Cysteine and methionine metabolism,eco00680:Methane metabolism,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01120:Microbial metabolism in diverse environments,eco01200:Carbon metabolism,eco01230:Biosynthesis of amino acids,	[HE] Phosphoglycerate dehydrogenase and related dehydrogenases 						594.769942402945	0.169222059702618	-18.2213019733105	3.4973370094241e-74	3.44629479361088e-72	b2913	0.987	1677140.0	COG0111	1676524	1677756	-	IPR002912:ACT domain,IPR006139:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,IPR006140:D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding,	KW-0028~Amino-acid biosynthesis,KW-0718~Serine biosynthesis,	KW-0520~NAD,	KW-0560~Oxidoreductase,	234462,320209,1999380,2165479,2644267,2692566,3017965,3108237,4296829,4296830,4361732,4384871,4934072,7719856,7894704,7968922,8550422,8771194,8798520,9278503,9298646,9489667,9712860,10026144,10595555,10600116,10683264,10852732,11050089,11278587,11985712,12123449,12183470,12199695,12368244,12391881,12627170,12644455,14047241,14718528,15035616,15051334,15662561,15823035,16363798,16397293,16738553,16820464,16987805,17012394,17187058,17459882,17543954,18304323,18776184,18852508,19924905,21391703,29494135,31677193,	15823035:crystal structure,16363798:L-Serine inhibits the catalytic activity of D-3-phosphoglycerate dehydrogenase by binding to its regulatory domain.,17459882:analysis of mutation effects on effector binding and domain rotation in Escherichia coli D-3-phosphoglycerate dehydrogenase,18776184:the rate-limiting step in both directions is a conformational change in the Escherichia coli D-3-phosphoglycerate dehydrogenase enzyme that is not detected optically,19924905:L-serine, inhibitor of D-3-phosphoglycerate dehydrogenase, exerts its effect on at least two steps in the kinetic mechanism, but to very different degrees.,21391703:Data indicate that the cooperative transmission induced by serine binding is transmitted through the D-3-phosphoglycerate dehydrogenase Gly294-Gly295 hinge region to the opposite serine binding interface.,31677193:Inhibition of glycine cleavage system by pyridoxine 5'-phosphate causes synthetic lethality in glyA yggS and serA yggS in Escherichia coli.,9298646:N-terminus verified by Edman degradation on mature peptide,	GO:0006564~L-serine biosynthetic process,GO:0008652~cellular amino acid biosynthetic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004617~phosphoglycerate dehydrogenase activity,GO:0016491~oxidoreductase activity,GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0016618~hydroxypyruvate reductase activity,GO:0030267~glyoxylate reductase (NADP) activity,GO:0042802~identical protein binding,GO:0047545~2-hydroxyglutarate dehydrogenase activity,GO:0051287~NAD binding,GO:0070403~NAD+ binding,GO:0070404~NADH binding,GO:0070905~serine binding,	Coenzyme transport and metabolism [H]
-3.08097592756769	K8943_RS05605	cysK	cysteine synthase A	597.0	-3.08097592756769	similar	2.3321350526650617	similar	1.0887230186725598	eco00270:Cysteine and methionine metabolism,eco00920:Sulfur metabolism,eco01100:Metabolic pathways,eco01110:Biosynthesis of secondary metabolites,eco01120:Microbial metabolism in diverse environments,eco01200:Carbon metabolism,eco01230:Biosynthesis of amino acids,	[E] Cysteine synthase    						2247.35822132917	0.127746547023331	-24.1178802821575	1.6231367752253199e-128	4.552274371131949e-126	b2414	0.979	1186018.0	COG0031	1185533	1186504	+	IPR001216:Cysteine synthase/cystathionine beta-synthase P-phosphate-binding site,IPR001926:Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily,IPR005856:Cysteine synthase K/M,IPR005859:Cysteine synthase A,	KW-0028~Amino-acid biosynthesis,KW-0198~Cysteine biosynthesis,	KW-0663~Pyridoxal phosphate,	KW-0021~Allosteric enzyme,KW-0456~Lyase,KW-0808~Transferase,	338862,388955,2125278,2201776,2203727,2457575,2960675,3062311,3062312,3290198,3309158,3329675,5332668,6302202,6341507,6374031,8106505,8506346,8663055,8740179,8774726,9278503,9298646,10052138,10200310,10993149,11055390,11388466,12107143,12883870,15827611,15911532,16000817,16000837,16397293,16621832,16738553,16858726,16937252,17012394,17055101,17187058,17224606,17543954,17951385,18304323,18852508,19213732,19838305,21873635,22092684,22179612,24561554,28337759,	22092684:The authors showed that the expression of cysK is regulated by several genetic and environmental factors in addition to CysB: two genetic factors, OmpR and CysE, and lithium.,28337759:Data show that bacterial serine acetyltransferase (CysE) is activated when bound to O-acetylserine sulfhydrylase-A sulfhydrylase (CysK).,8506346,8663055,8740179,8774726,9298646:N-terminus verified by Edman degradation on mature peptide,	GO:0006535~cysteine biosynthetic process from serine,GO:0008152~metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0019344~cysteine biosynthetic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0009333~cysteine synthase complex,	GO:0003824~catalytic activity,GO:0004124~cysteine synthase activity,GO:0005515~protein binding,GO:0016740~transferase activity,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,GO:0016829~lyase activity,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0050272~S-carboxymethylcysteine synthase activity,GO:0080146~L-cysteine desulfhydrase activity,	Amino acid transport and metabolism [E]
